Date,SGD_GDP_Billions,USD_GDP_Billions,Singapore,USA,SG_Interest_Rate,US_Interest_Rate,SP500,STI,ExchangeRate,Daily Exports(millions),Daily Imports(millions),Daily Balance(millions),FOREIGN RESERVES (US$ MILLION),GoldPrice,DXI
2005-07-01,53.7128,13142.642,0.44,2.44,1.77,3.26,1194.4,2209.949951,1.6947,51.21612903225807,38.34838709677419,12.86774193548387,115965.4,428.8,89.169998
2005-07-05,53.86768172,13150.45112,0.44,2.44,1.77,3.26,1205.0,2222.610107,1.6953,51.21612903225807,38.34838709677419,12.86774193548387,115976.31612903225,423.9,90.669998
2005-07-06,53.90640215,13152.4034,0.44,2.44,1.77,3.26,1194.9,2234.129883,1.6972,51.21612903225807,38.34838709677419,12.86774193548387,115979.04516129033,424.5,90.330002
2005-07-07,53.94512258,13154.35568,0.44,2.44,1.77,3.26,1197.9,2212.340088,1.6987,51.21612903225807,38.34838709677419,12.86774193548387,115981.77419354838,424.2,90.379997
2005-07-08,53.98384301,13156.30796,0.44,2.44,1.77,3.26,1211.9,2215.98999,1.702,51.21612903225807,38.34838709677419,12.86774193548387,115984.50322580645,423.8,90.290001
2005-07-11,54.1000043,13162.1648,0.44,2.44,1.77,3.26,1219.4,2241.189941,1.694,51.21612903225807,38.34838709677419,12.86774193548387,115992.69032258065,426.3,90.18
2005-07-12,54.13872473,13164.11708,0.44,2.44,1.77,3.26,1222.2,2235.590088,1.6856,51.21612903225807,38.34838709677419,12.86774193548387,115995.41935483873,427.1,89.519997
2005-07-13,54.17744516,13166.06935,0.44,2.44,1.77,3.26,1223.3,2239.01001,1.6917,51.21612903225807,38.34838709677419,12.86774193548387,115998.14838709676,424.6,88.449997
2005-07-14,54.21616559,13168.02163,0.44,2.44,1.77,3.26,1226.5,2250.159912,1.6895,51.21612903225807,38.34838709677419,12.86774193548387,116000.87741935485,420.2,89.379997
2005-07-15,54.25488602,13169.97391,0.44,2.44,1.77,3.26,1227.9,2250.290039,1.6873,51.21612903225807,38.34838709677419,12.86774193548387,116003.6064516129,421.3,89.410004
2005-07-18,54.37104731,13175.83075,0.44,2.44,1.77,3.26,1221.1,2248.139893,1.6855,51.21612903225807,38.34838709677419,12.86774193548387,116011.7935483871,421.0,89.779999
2005-07-19,54.40976774,13177.78303,0.44,2.44,1.77,3.26,1229.3,2292.919922,1.6885,51.21612903225807,38.34838709677419,12.86774193548387,116014.52258064516,420.2,89.68
2005-07-20,54.44848817,13179.73531,0.44,2.44,1.77,3.26,1235.2,2309.26001,1.685,51.21612903225807,38.34838709677419,12.86774193548387,116017.25161290324,422.1,89.980003
2005-07-21,54.4872086,13181.68759,0.44,2.44,1.77,3.26,1227.0,2311.139893,1.6515,51.21612903225807,38.34838709677419,12.86774193548387,116019.98064516128,425.7,89.349998
2005-07-22,54.52592903,13183.63987,0.44,2.44,1.77,3.26,1233.7,2319.340088,1.6595,51.21612903225807,38.34838709677419,12.86774193548387,116022.70967741936,425.0,88.970001
2005-07-25,54.64209032,13189.49671,0.44,2.44,1.77,3.26,1229.0,2309.610107,1.6604,51.21612903225807,38.34838709677419,12.86774193548387,116030.89677419356,425.9,89.75
2005-07-26,54.68081075,13191.44899,0.44,2.44,1.77,3.26,1231.2,2321.77002,1.6694,51.21612903225807,38.34838709677419,12.86774193548387,116033.62580645162,423.5,89.610001
2005-07-27,54.71953118,13193.40127,0.44,2.44,1.77,3.26,1236.8,2333.620117,1.6653,51.21612903225807,38.34838709677419,12.86774193548387,116036.35483870968,424.8,90.099998
2005-07-28,54.75825161,13195.35355,0.44,2.44,1.77,3.26,1243.7,2346.189941,1.6644,51.21612903225807,38.34838709677419,12.86774193548387,116039.08387096776,433.3,89.849998
2005-07-29,54.79697204,13197.30583,0.44,2.44,1.77,3.26,1234.2,2352.560059,1.6631,51.21612903225807,38.34838709677419,12.86774193548387,116041.8129032258,435.8,89.370003
2005-08-01,54.91313333,13203.16267,0.44,2.44,1.97,3.5,1235.3,2365.719971,1.6602,56.24193548387097,43.16774193548388,13.074193548387097,116050.0,437.7,89.410004
2005-08-02,54.95185376,13205.11495,0.44,2.44,1.97,3.5,1244.1,2377.129883,1.6549,56.24193548387097,43.16774193548388,13.074193548387097,116024.19032258065,437.7,88.900002
2005-08-03,54.99057419,13207.06723,0.44,2.44,1.97,3.5,1245.0,2365.189941,1.652,56.24193548387097,43.16774193548388,13.074193548387097,115998.38064516128,442.7,88.760002
2005-08-04,55.02929462,13209.01951,0.44,2.44,1.97,3.5,1235.9,2362.389893,1.6525,56.24193548387097,43.16774193548388,13.074193548387097,115972.57096774194,443.7,88.019997
2005-08-05,55.06801505,13210.97178,0.44,2.44,1.97,3.5,1226.4,2338.870117,1.654,56.24193548387097,43.16774193548388,13.074193548387097,115946.76129032258,442.8,87.760002
2005-08-08,55.18417634,13216.82862,0.44,2.44,1.97,3.5,1223.1,2348.209961,1.6545,56.24193548387097,43.16774193548388,13.074193548387097,115869.33225806452,440.3,88.18
2005-08-09,55.22289677,13218.7809,0.44,2.44,1.97,3.5,1231.4,,1.6533,56.24193548387097,43.16774193548388,13.074193548387097,115843.52258064516,439.8,87.989998
2005-08-10,55.2616172,13220.73318,0.44,2.44,1.97,3.5,1229.1,2338.48999,1.6464,56.24193548387097,43.16774193548388,13.074193548387097,115817.7129032258,442.0,87.82
2005-08-11,55.30033763,13222.68546,0.44,2.44,1.97,3.5,1237.8,2305.969971,1.6465,56.24193548387097,43.16774193548388,13.074193548387097,115791.90322580644,450.9,87.599998
2005-08-12,55.33905806,13224.63774,0.44,2.44,1.97,3.5,1230.4,2303.199951,1.6522,56.24193548387097,43.16774193548388,13.074193548387097,115766.0935483871,451.4,86.919998
2005-08-15,55.45521935,13230.49458,0.44,2.44,1.97,3.5,1233.9,2279.76001,1.6578,56.24193548387097,43.16774193548388,13.074193548387097,115688.66451612904,447.6,86.889999
2005-08-16,55.49393978,13232.44686,0.44,2.44,1.97,3.5,1219.3,2305.300049,1.6574,56.24193548387097,43.16774193548388,13.074193548387097,115662.85483870968,451.5,87.339996
2005-08-17,55.53266022,13234.39914,0.44,2.44,1.97,3.5,1220.2,2280.22998,1.6631,56.24193548387097,43.16774193548388,13.074193548387097,115637.04516129033,445.2,87.470001
2005-08-18,55.57138065,13236.35142,0.44,2.44,1.97,3.5,1219.0,2282.699951,1.6663,56.24193548387097,43.16774193548388,13.074193548387097,115611.23548387096,444.7,87.940002
2005-08-19,55.61010108,13238.3037,0.44,2.44,1.97,3.5,1219.7,2286.360107,1.6714,56.24193548387097,43.16774193548388,13.074193548387097,115585.4258064516,442.2,88.550003
2005-08-22,55.72626237,13244.16054,0.44,2.44,1.97,3.5,1221.7,2300.949951,1.667,56.24193548387097,43.16774193548388,13.074193548387097,115507.99677419354,443.0,88.589996
2005-08-23,55.7649828,13246.11282,0.44,2.44,1.97,3.5,1217.6,2289.659912,1.668,56.24193548387097,43.16774193548388,13.074193548387097,115482.1870967742,444.3,88.099998
2005-08-24,55.80370323,13248.0651,0.44,2.44,1.97,3.5,1209.6,2278.350098,1.6707,56.24193548387097,43.16774193548388,13.074193548387097,115456.37741935485,442.2,88.099998
2005-08-25,55.84242366,13250.01738,0.44,2.44,1.97,3.5,1212.4,2284.399902,1.6723,56.24193548387097,43.16774193548388,13.074193548387097,115430.56774193548,443.1,87.889999
2005-08-26,55.88114409,13251.96966,0.44,2.44,1.97,3.5,1205.1,2286.550049,1.6741,56.24193548387097,43.16774193548388,13.074193548387097,115404.75806451612,442.1,87.730003
2005-08-29,55.99730538,13257.82649,0.44,2.44,1.97,3.5,1212.3,2272.0,1.6816,56.24193548387097,43.16774193548388,13.074193548387097,115327.32903225806,441.4,87.739998
2005-08-30,56.03602581,13259.77877,0.44,2.44,1.97,3.5,1208.4,2268.48999,1.6837,56.24193548387097,43.16774193548388,13.074193548387097,115301.5193548387,435.5,88.190002
2005-08-31,56.07474624,13261.73105,0.44,2.44,1.97,3.5,1220.3,2275.429932,1.6814,56.24193548387097,43.16774193548388,13.074193548387097,115275.70967741936,438.1,88.370003
